NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
900666117,ventas doble g s.a.s. en reorganizacion,supersociedades,antioquia,antioquia,itagui-antioquia-antioquia,"4,631",comercio,0.08,0.0,0.02,0.02,0.0,2023
900211457,its infocomunicacion sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","6,209",servicios,0.08,0.0,0.06,0.04,0.01,2023
800051319,energia y potencia s.a.s,supersociedades,antioquia,antioquia,itagui-antioquia-antioquia,"4,659",comercio,0.08,0.0,0.06,0.03,0.04,2023
830060136,corporacion colombiana de logistica s.a.,supertransporte,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","5,224",servicios,0.08,0.0,0.1,0.05,0.05,2023
900138369,dinacol sas,supersociedades,costa atlántica,bolivar,cartagena-bolivar,"2,511",manufactura,0.08,0.0,0.07,0.04,0.03,2023
900206408,team communications s.a,supersociedades,antioquia,antioquia,medellin-antioquia,"4,652",comercio,0.08,0.0,0.02,0.01,0.01,2023
813000008,atp ingenieria sas en reorganizacion,supersociedades,otros,meta,villavicencio-meta,910,minero,0.08,0.02,0.11,0.06,0.05,2023
900476153,"materiales, agregados, bases, obras y herramientas sas",supersociedades,otros,casanare,villanueva-casanare-casanare,"4,220",construcción,0.08,0.0,0.02,0.01,0.01,2023
804002840,sd sas,supersociedades,centro - oriente,santander,piedecuesta-santander,"4,220",construcción,0.08,0.01,0.05,0.03,0.02,2023
860075659,comercializadora internacional gemologia y tecnologia sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,690",comercio,0.08,0.0,0.01,0.01,0.0,2023
900152099,invertek sas,supersociedades,centro - oriente,santander,bucaramanga-santander,"4,732",comercio,0.08,0.0,0.03,0.02,0.0,2023
900401714,open international sas,supersociedades,costa pacífica,valle,cali-valle,"6,201",servicios,0.08,0.0,0.04,0.02,0.01,2023
900979053,r.c.f.echeverri castro sas,supersociedades,bogotá - cundinamarca,bogota d.c.,"bogota, d.c.-bogota d.c.","4,620",comercio,0.08,0.0,0.01,0.01,0.0,2023
800088155,domina entrega total s.a.s,supersociedades,antioquia,antioquia,medellin-antioquia,"5,320",servicios,0.08,0.0,0.02,0.01,0.01,2023
900767372,alimentos gamar s.a.s.,supersociedades,otros,caqueta,san-vicente-del-caguan-caqueta-caqueta,"1,040",manufactura,0.08,0.0,0.03,0.02,0.01,2023
